#time(s),x(m),y(m),theta(rad)
1317398085589782000, -9.729329,51.675919,1.758372
1317398085693989992, -9.931976,52.729594,1.758186
1317398085798171043, -10.137561,53.785038,1.758196
1317398085902354002, -10.340426,54.847491,1.758007
1317398086006557941, -10.543510,55.902629,1.757626
1317398086110738993, -10.751801,56.972523,1.757344
1317398086214903116, -10.956437,58.044516,1.757151
1317398086319087029, -11.152670,59.105726,1.757176
1317398086423268080, -11.348681,60.169515,1.757064
1317398086527426958, -11.547372,61.220596,1.756883
1317398086631583929, -11.758483,62.289834,1.757056
1317398086735742092, -11.961318,63.354643,1.757123
1317398086839926958, -12.173627,64.418060,1.756186
1317398086944109917, -12.388411,65.491509,1.755569
1317398087048269033, -12.600530,66.562010,1.755451
1317398087152426958, -12.803070,67.634027,1.755557
1317398087256587029, -13.005621,68.711870,1.755665
1317398087360744953, -13.213436,69.787779,1.756054
1317398087464900017, -13.405303,70.859131,1.756356
1317398087569057941, -13.608795,71.923221,1.757069
1317398087673218012, -13.810818,72.988168,1.757848
1317398087777376890, -14.018572,74.037143,1.758710
1317398087881513119, -14.229149,75.098835,1.759163
1317398087985646963, -14.441213,76.153698,1.759720
1317398088089807034, -14.656703,77.214521,1.760301
1317398088193943024, -14.860900,78.274990,1.760925
1317398088298078060, -15.071256,79.311288,1.761563
1317398088402211905, -15.276548,80.355889,1.762235
1317398088506345987, -15.481842,81.387509,1.762892
1317398088610505104, -15.683769,82.409524,1.763276
1317398088714670897, -15.886620,83.418567,1.763830
1317398088818804979, -16.081580,84.418192,1.764320
1317398088922933102, -16.277906,85.390900,1.764812
1317398089027069092, -16.473383,86.346726,1.765960
1317398089131201982, -16.665015,87.284084,1.767964
1317398089235336065, -16.850735,88.201664,1.771062
1317398089339472055, -17.042641,89.084393,1.774275
1317398089443630934, -17.223738,89.951940,1.777429
1317398089547789097, -17.405128,90.793792,1.780323
1317398089651947021, -17.594030,91.613359,1.783220
1317398089756105900, -17.773294,92.413553,1.786001
1317398089860289097, -17.948047,93.187215,1.788772
1317398089964469910, -18.123644,93.930319,1.791348
1317398090068653107, -18.288973,94.635269,1.793957
1317398090172861099, -18.459939,95.317005,1.796565
1317398090277069092, -18.613126,95.961762,1.798731
1317398090381273985, -18.766971,96.577230,1.800811
1317398090485506058, -18.912080,97.164996,1.801849
1317398090589787006, -19.052377,97.732110,1.801012
1317398090694112062, -19.189795,98.275230,1.798521
1317398090798437119, -19.311933,98.790279,1.793120
1317398090902772903, -19.422773,99.291192,1.785936
1317398091007123947, -19.522668,99.765645,1.776617
1317398091111466885, -19.611642,100.223729,1.764710
1317398091215840101, -19.690610,100.658812,1.751372
1317398091320264101, -19.759994,101.073499,1.736437
1317398091424710989, -19.815822,101.490770,1.719035
1317398091529181004, -19.853226,101.885324,1.697907
1317398091738193989, -19.891569,102.670080,1.646845
1317398091842760086, -19.901290,103.048867,1.616923
1317398091947328091, -19.898338,103.414466,1.584449
1317398092051870108, -19.875382,103.782099,1.548672
1317398092156388044, -19.834954,104.145963,1.509980
1317398092260907888, -19.778327,104.505252,1.469163
1317398092365426064, -19.711681,104.856351,1.426271
1317398092469919920, -19.629547,105.191566,1.380293
1317398092574392080, -19.533607,105.529668,1.332622
1317398092678838968, -19.421512,105.859950,1.284553
1317398092887660027, -19.135391,106.477239,1.185388
1317398092992036104, -18.977758,106.775485,1.135458
1317398093096385002, -18.802973,107.061769,1.084242
1317398093305135012, -18.422318,107.612430,0.976726
1317398093409487009, -18.190205,107.879690,0.922249
1317398093513813019, -17.934731,108.140839,0.867988
1317398093618139982, -17.676392,108.385971,0.812829
1317398093826792002, -17.099403,108.844975,0.700986
1317398093931118965, -16.783355,109.051567,0.644166
1317398094035423040, -16.446406,109.262558,0.587678
1317398094139712095, -16.107942,109.457365,0.533052
1317398094243942976, -15.735344,109.629302,0.480045
1317398094348114967, -15.343490,109.804711,0.430690
1317398094452227116, -14.928091,109.966664,0.387279
1317398094556241035, -14.504099,110.118430,0.350213
1317398094660182953, -14.070897,110.266912,0.318406
1317398094764101028, -13.626557,110.409882,0.289698
1317398094868017912, -13.148317,110.551520,0.263638
1317398094971939087, -12.661452,110.681612,0.239525
1317398095075882912, -12.153043,110.785148,0.216627
1317398095179825068, -11.623181,110.887419,0.195971
1317398095283742905, -11.074739,110.983227,0.177887
1317398095387635946, -10.511740,111.071098,0.163794
1317398095595354080, -9.287931,111.264672,0.145771
1317398095699152946, -8.635595,111.349594,0.143157
1317398095802953005, -7.974878,111.442300,0.143180
1317398095906774044, -7.304947,111.548937,0.145134
1317398096114563942, -5.930272,111.772753,0.147728
1317398096218507051, -5.224144,111.889716,0.148630
1317398096322499037, -4.493120,111.998435,0.149496
1317398096426516056, -3.745177,112.124856,0.150063
1317398096530553102, -2.987178,112.241071,0.150520
1317398096634635925, -2.219732,112.363235,0.150055
1317398096738749027, -1.435519,112.484056,0.149325
1317398096842860937, -0.646878,112.615959,0.147980
1317398096946971893, 0.154533,112.729047,0.147136
1317398097051105022, 0.960984,112.849459,0.146022
1317398097155263901, 1.774272,112.975949,0.144677
1317398097259399891, 2.593474,113.108444,0.143546
1317398097363533974, 3.415305,113.232677,0.142861
1317398097467693090, 4.238100,113.355663,0.141670
1317398097571851015, 5.079558,113.488961,0.140105
1317398097675986052, 5.925180,113.623243,0.139046
1317398097780143976, 6.767139,113.743374,0.138958
1317398097884330034, 7.611393,113.865119,0.139143
1317398097988487005, 8.462533,113.992642,0.139272
1317398098092642069, 9.294183,114.111200,0.140134
1317398098196825981, 10.113566,114.231362,0.140886
1317398098301007032, 10.929409,114.353851,0.141109
1317398098405189037, 11.762197,114.481623,0.142091
1317398098509375095, 12.586945,114.602979,0.143127
1317398098717755079, 14.217743,114.834117,0.143688
1317398098821991920, 15.021102,114.959529,0.142678
1317398098926244974, 15.831175,115.076018,0.140879
1317398099030491114, 16.613898,115.198552,0.138608
1317398099134756088, 17.415873,115.311896,0.136620
1317398099238985062, 18.210748,115.428835,0.134824
1317398099343214989, 19.003660,115.540739,0.132878
1317398099447480917, 19.785024,115.650881,0.130605
1317398099656029940, 21.337676,115.860266,0.126990
1317398099760288954, 22.106078,115.963339,0.126091
1317398099864531994, 22.876937,116.061059,0.124970
1317398099968785048, 23.639278,116.157521,0.123455
1317398100073040009, 24.386263,116.262399,0.122191
1317398100177292109, 25.131050,116.353848,0.121053
1317398100281553984, 25.865315,116.449872,0.120216
1317398100385783911, 26.569928,116.538397,0.119594
1317398100490016937, 27.270898,116.626275,0.119439
1317398100594274044, 27.972018,116.717688,0.119211
1317398100698529005, 28.662854,116.807324,0.118961
1317398100907084942, 30.037778,116.976808,0.118899
1317398101011372089, 30.723712,117.071383,0.118576
1317398101115647078, 31.401684,117.154477,0.118035
1317398101324193954, 32.748628,117.322611,0.118460
1317398101428493977, 33.431347,117.411819,0.117218
1317398101532847881, 34.100591,117.507792,0.113625
1317398101637172937, 34.756426,117.589556,0.108313
1317398101741498947, 35.415902,117.651968,0.102554
1317398101845822096, 36.080623,117.713048,0.095723
1317398101950124979, 36.766093,117.775862,0.088464
1317398102054405928, 37.444006,117.845795,0.082109
1317398102158694983, 38.128314,117.902179,0.076970
1317398102262949944, 38.819770,117.959131,0.072539
1317398102367181063, 39.508609,118.013601,0.068577
1317398102471409082, 40.211564,118.061714,0.065845
1317398102575632095, 40.923920,118.109064,0.064078
1317398102679862976, 41.637559,118.161081,0.062522
1317398102784076929, 42.363814,118.211595,0.061448
1317398102888307095, 43.097754,118.258256,0.061024
1317398102992527962, 43.827903,118.288470,0.061006
1317398103096735954, 44.573019,118.329752,0.060388
1317398103200953007, 45.319561,118.375466,0.059466
1317398103305160999, 46.072166,118.431996,0.059154
1317398103513622999, 47.573880,118.524740,0.059080
1317398103617845058, 48.321846,118.572665,0.057853
1317398103826351881, 49.800855,118.673921,0.053990
1317398103930605888, 50.549547,118.717234,0.051878
1317398104034859896, 51.311916,118.760121,0.050059
1317398104243380070, 52.801079,118.837334,0.046625
1317398104347630024, 53.558277,118.878796,0.045714
1317398104451884985, 54.339896,118.923380,0.044804
1317398104556132078, 55.105966,118.961139,0.043532
1317398104660388947, 55.886683,118.994485,0.042474
1317398104868918896, 57.469545,119.079813,0.039720
1317398104973186016, 58.267654,119.114360,0.037469
1317398105077466011, 59.062363,119.150767,0.035469
1317398105285964012, 60.667487,119.208106,0.032292
1317398105390229940, 61.482408,119.234711,0.031734
1317398105598742962, 63.125659,119.284191,0.031080
1317398105702996016, 63.967135,119.307308,0.031368
1317398105807250023, 64.814107,119.332998,0.031712
1317398105911478043, 65.657270,119.369786,0.032738
1317398106119962931, 67.362367,119.428647,0.036069
1317398106224193096, 68.225202,119.464709,0.037742
1317398106328866959, 69.083476,119.503666,0.039397
1317398106433121920, 69.931481,119.536301,0.041008
1317398106641168118, 71.645591,119.620065,0.044046
1317398106745405912, 72.515519,119.667308,0.045455
1317398106849661112, 73.390152,119.715218,0.046553
1317398106953926086, 74.252946,119.757033,0.047154
1317398107162436008, 75.995638,119.851853,0.048265
1317398107266690016, 76.876091,119.892142,0.049077
1317398107370944977, 77.756647,119.936207,0.050079
1317398107475200891, 78.621151,119.984296,0.050633
1317398107579457045, 79.479254,120.026255,0.051553
1317398107683712959, 80.342048,120.080886,0.052121
1317398107787988901, 81.202313,120.142234,0.052402
1317398107892277956, 82.056942,120.202744,0.052299
1317398107996546984, 82.902376,120.258902,0.051100
1317398108100824118, 83.735658,120.312849,0.050022
1317398108205084085, 84.579797,120.359259,0.049321
1317398108309329033, 85.416822,120.401811,0.048909
1317398108517808914, 87.076264,120.495404,0.047679
1317398108622096062, 87.903834,120.541394,0.046984
1317398108726353884, 88.723518,120.587094,0.046484
1317398108830606937, 89.541364,120.637605,0.045175
1317398108934859991, 90.341832,120.681352,0.042799
1317398109039139986, 91.145383,120.717441,0.039823
1317398109247685909, 92.720997,120.787755,0.033261
1317398109351977110, 93.502268,120.819913,0.029792
1317398109456233025, 94.286695,120.841946,0.026924
1317398109560472012, 95.067437,120.860797,0.024430
1317398109664726019, 95.841114,120.890186,0.022870
1317398109769009113, 96.612340,120.922266,0.020795
1317398109873294115, 97.382642,120.931860,0.017840
1317398109977560043, 98.159486,120.951129,0.014565
1317398110186005116, 99.702493,120.972523,0.009792
1317398110290260077, 100.463167,120.982982,0.007908
1317398110394514084, 101.221722,121.001299,0.004934
1317398110498740911, 101.978280,121.005742,0.002501
1317398110602972984, 102.730904,121.001369,0.000613
1317398110811491966, 104.206581,121.013197,-0.004635
1317398110915747881, 104.955924,121.016146,-0.007136
1317398111020029068, 105.693334,121.009142,-0.011590
1317398111124346018, 106.430876,121.004269,-0.017258
1317398111332959890, 107.888279,120.981191,-0.032970
1317398111437273026, 108.613091,120.960941,-0.044182
1317398111541614056, 109.336197,120.922795,-0.056483
1317398111645953894, 110.061821,120.875244,-0.069389
1317398111750279903, 110.786591,120.820034,-0.081584
1317398111854620934, 111.510777,120.748571,-0.092690
1317398111958947897, 112.223322,120.667575,-0.102916
1317398112063227892, 112.934693,120.579115,-0.112089
1317398112167484045, 113.655275,120.483842,-0.119961
1317398112271711111, 114.361651,120.393824,-0.126239
1317398112375890017, 115.070545,120.298005,-0.130711
1317398112480048895, 115.779909,120.192562,-0.132474
1317398112584175110, 116.489422,120.088856,-0.133376
1317398112688313961, 117.196916,119.988076,-0.134379
1317398112792484999, 117.877561,119.882521,-0.133908
1317398112896612883, 118.558519,119.795906,-0.133125
1317398113000721931, 119.249445,119.702442,-0.131934
1317398113104846001, 119.926740,119.613955,-0.129847
1317398113208970070, 120.608990,119.522001,-0.128231
1317398113313117981, 121.277819,119.435403,-0.126516
1317398113417256117, 121.940860,119.341056,-0.123927
1317398113521342039, 122.600023,119.262349,-0.119321
1317398113625439882, 123.253575,119.183482,-0.114048
1317398113729549885, 123.907702,119.113841,-0.108509
1317398113833647013, 124.556286,119.054016,-0.103727
1317398113937779903, 125.201706,118.986732,-0.099452
1317398114041970015, 125.843438,118.928104,-0.095537
1317398114146163940, 126.477591,118.865732,-0.091618
1317398114250345945, 127.105546,118.800807,-0.087739
1317398114354542971, 127.716403,118.753803,-0.084495
1317398114458741903, 128.321466,118.709832,-0.080795
1317398114562952995, 128.917655,118.668566,-0.075996
1317398114667140007, 129.507637,118.624756,-0.070638
1317398114771322966, 130.115179,118.589272,-0.063797
1317398114875502110, 130.719837,118.569756,-0.055360
1317398114979640961, 131.311605,118.549480,-0.044984
1317398115083755970, 131.903109,118.534270,-0.032768
1317398115187864065, 132.489191,118.538011,-0.019457
1317398115291975021, 133.072069,118.544218,-0.004755
1317398115396054029, 133.658123,118.573927,0.012640
1317398115500114918, 134.219473,118.611180,0.033181
1317398115604176998, 134.787813,118.662791,0.055476
1317398115708251953, 135.346204,118.726960,0.077729
1317398115812361956, 135.903778,118.798302,0.099360
1317398115916508913, 136.449594,118.879878,0.119646
1317398116020726919, 136.992564,118.964929,0.136064
1317398116125041962, 137.529196,119.055381,0.147555
1317398116229441881, 138.086946,119.142496,0.152293
1317398116333925009, 138.627577,119.208191,0.148931
1317398116438491106, 139.160059,119.270225,0.138025
1317398116543067932, 139.707374,119.340859,0.125037
1317398116647578001, 140.239268,119.393157,0.111738
1317398116752049923, 140.782085,119.446568,0.099389
1317398116856530905, 141.303119,119.488983,0.086340
1317398116961025000, 141.827729,119.527243,0.070767
1317398117065495968, 142.340550,119.560145,0.053787
1317398117169893026, 142.864180,119.582356,0.037641
1317398117274265051, 143.376059,119.593327,0.022709
1317398117378606081, 143.890153,119.593903,0.008242
1317398117482935905, 144.403748,119.594500,-0.005921
1317398117587265015, 144.914347,119.590617,-0.018777
1317398117691531897, 145.409133,119.570674,-0.030620
1317398117795785904, 145.920337,119.555847,-0.041165
1317398117900016069, 146.414675,119.531512,-0.049618
1317398118004232883, 146.898294,119.514908,-0.054909
1317398118108417988, 147.406338,119.502584,-0.058546
1317398118212587118, 147.894696,119.470798,-0.060803
1317398118316793919, 148.386725,119.452628,-0.061618
1317398118421003103, 148.860131,119.420280,-0.062846
1317398118525244951, 149.329744,119.384125,-0.065640
1317398118629513025, 149.810639,119.361049,-0.068558
1317398118733779907, 150.297548,119.320976,-0.072562
1317398118838068962, 150.784516,119.284304,-0.077973
1317398118942389011, 151.295006,119.250796,-0.083342
1317398119046724081, 151.811031,119.199466,-0.089365
1317398119151034117, 152.329515,119.137609,-0.094866
1317398119255326986, 152.876711,119.090151,-0.101090
1317398119359628916, 153.414744,119.036899,-0.107113
1317398119463942051, 153.971664,118.974109,-0.112694
1317398119568226099, 154.506944,118.899729,-0.117965
1317398119672470093, 155.070895,118.827257,-0.122953
1317398119776742935, 155.625849,118.766886,-0.126967
1317398119880995035, 156.205395,118.687521,-0.130976
1317398119985224962, 156.777711,118.615398,-0.133715
1317398120089458942, 157.348158,118.528517,-0.136409
1317398120193665028, 157.924296,118.446329,-0.138552
1317398120297873974, 158.507631,118.368572,-0.139815
1317398120402081013, 159.086327,118.290231,-0.139941
1317398120506263018, 159.654240,118.208089,-0.139083
1317398120610445976, 160.222874,118.128125,-0.137770
1317398120714638948, 160.796324,118.056322,-0.135433
1317398120818794012, 161.357695,117.987610,-0.133026
1317398120922952890, 161.914127,117.916317,-0.130162
1317398121131275892, 163.015224,117.781673,-0.123657
1317398121235434055, 163.541032,117.715571,-0.119639
1317398121339574099, 164.062558,117.663367,-0.115851
1317398121547883987, 165.069141,117.559893,-0.106682
1317398121652066946, 165.545874,117.514474,-0.100767
1317398121756203890, 166.006721,117.466985,-0.093457
1317398121860325098, 166.460790,117.436240,-0.084346
1317398122068532944, 167.308571,117.398083,-0.058777
1317398122172590971, 167.721697,117.391360,-0.042325
1317398122276627064, 168.136986,117.391070,-0.023063
1317398122484617949, 168.955976,117.424996,0.026311
1317398122588620901, 169.360304,117.461634,0.054980
1317398122796587944, 170.136542,117.594340,0.117634
1317398122900625944, 170.509835,117.681677,0.149077
1317398123108696938, 171.255214,117.877472,0.211427
1317398123316792965, 171.991556,118.110270,0.276149
1317398123420845032, 172.351888,118.251245,0.310647
1317398123628894091, 173.059000,118.568968,0.385089
1317398123732902050, 173.410407,118.754593,0.425589
1317398123940902948, 174.101094,119.188328,0.512979
1317398124044895887, 174.443380,119.437118,0.559667
1317398124252891064, 175.103463,119.979041,0.656909
1317398124356930971, 175.442955,120.277953,0.706547
1317398124460994959, 175.759951,120.590165,0.756803
1317398124669157028, 176.368564,121.341985,0.855755
1317398124773255110, 176.658246,121.755235,0.905426
1317398124981530905, 177.203700,122.647449,1.001993
1317398125189949036, 177.700124,123.632779,1.091941
1317398125294213057, 177.926365,124.155076,1.132582
1317398125502892971, 178.319919,125.290521,1.203328
1317398125607278109, 178.506354,125.886649,1.232823
1317398125711735964, 178.679741,126.509040,1.258536
1317398125920727968, 179.024652,127.812914,1.299377
1317398126025197983, 179.200330,128.487306,1.317714
1317398126234019995, 179.531163,129.928988,1.353861
1317398126338416100, 179.672442,130.684799,1.371670
1317398126547224998, 179.923780,132.217814,1.402569
1317398126756227016, 180.130448,133.798097,1.415384
1317398126860735893, 180.239207,134.620973,1.416951
1317398127069641113, 180.489554,136.296229,1.417903
1317398127174084902, 180.629306,137.144055,1.418206
1317398127278458118, 180.756254,138.012203,1.418144
1317398127487128019, 181.024188,139.769133,1.416444
1317398127591415882, 181.163059,140.669806,1.415808
1317398127799931049, 181.443778,142.481306,1.414742
1317398128008389950, 181.729026,144.278572,1.414357
1317398128112654924, 181.870900,145.196906,1.413852
1317398128321130037, 182.152227,147.002134,1.414151
1317398128425348997, 182.289993,147.902302,1.414324
1317398128529542923, 182.432990,148.804445,1.414669
1317398128737951994, 182.709059,150.620006,1.416419
1317398128842149973, 182.848555,151.525621,1.417533
1317398128946362019, 182.983713,152.437627,1.418698
1317398129050561905, 183.119510,153.345449,1.419820
1317398129258953094, 183.385392,155.170618,1.422887
1317398129363125086, 183.517401,156.074052,1.424258
1317398129571487904, 183.782729,157.879976,1.427280
1317398129779858112, 184.031926,159.675482,1.430853
1317398129884037971, 184.155152,160.562694,1.432708
1317398129988219976, 184.271986,161.451018,1.434612
1317398130092382908, 184.391728,162.332242,1.436485
1317398130196536064, 184.508564,163.196789,1.438521
1317398130404906034, 184.724287,164.903923,1.443357
1317398130509087086, 184.828707,165.740713,1.445965
1317398130613305092, 184.926098,166.550745,1.448384
1317398130821711063, 185.097990,168.134808,1.453145
1317398130925910950, 185.179945,168.900217,1.456025
1317398131030117035, 185.264013,169.644009,1.459116
1317398131238529921, 185.409906,171.079951,1.468114
1317398131342772007, 185.471075,171.753877,1.471961
1317398131447016954, 185.527215,172.407465,1.475688
1317398131551271915, 185.582830,173.037982,1.479022
1317398131759854078, 185.679795,174.206276,1.481120
1317398131864136934, 185.725813,174.760068,1.482433
1317398131968369961, 185.764348,175.287680,1.483895
1317398132176928043, 185.844352,176.298806,1.485126
1317398132281187057, 185.879307,176.782110,1.486875
1317398132385415077, 185.920064,177.265662,1.489498
1317398132593808889, 185.986546,178.220116,1.499891
1317398132697945118, 186.010415,178.688599,1.509932
1317398132802018881, 186.019109,179.150506,1.523300
1317398132906030893, 186.016589,179.616830,1.540835
1317398133010020971, 185.991258,180.067504,1.562708
1317398133114001036, 185.957589,180.517296,1.588470
1317398133321867943, 185.847801,181.389672,1.650977
1317398133425817966, 185.771379,181.818080,1.687233
1317398133529733896, 185.667307,182.232606,1.725504
1317398133633657932, 185.544770,182.645163,1.767323
1317398133841520071, 185.258950,183.434007,1.856992
1317398133945456028, 185.084248,183.812523,1.904895
1317398134049396992, 184.891852,184.178741,1.955485
1317398134153332949, 184.685268,184.531356,2.007745
1317398134361303091, 184.233284,185.184840,2.116825
1317398134465293884, 183.974217,185.493981,2.173074
1317398134569340944, 183.703201,185.770389,2.230708
1317398134673404932, 183.416477,186.023305,2.288617
1317398134777458906, 183.120864,186.264544,2.346689
1317398134985594034, 182.504171,186.712257,2.465653
1317398135089693069, 182.182497,186.914079,2.524766
1317398135193815947, 181.852051,187.074562,2.583096
1317398135297954082, 181.509094,187.228124,2.641812
1317398135402137041, 181.161573,187.350232,2.699780
1317398135506347895, 180.821539,187.454701,2.756460
1317398135610565901, 180.465845,187.528757,2.813052
1317398135819042921, 179.760642,187.638231,2.921183
1317398135923357010, 179.405807,187.666484,2.970582
1317398136027733088, 179.045180,187.673415,3.015770
1317398136132155895, 178.678214,187.682046,3.055712
1317398136236615896, 178.306324,187.685434,3.091381
1317398136341161013, 177.941672,187.691816,3.122565
1317398136445734024, 177.549901,187.682455,3.147876
1317398136654798985, 176.724175,187.600577,3.190789
1317398136759352922, 176.297704,187.549977,3.205987
1317398136863847971, 175.836603,187.510018,3.219767
1317398136968277931, 175.377545,187.470090,3.235860
1317398137072676897, 174.888001,187.421930,3.252501
1317398137177066088, 174.393574,187.347822,3.270173
1317398137281471014, 173.874842,187.266042,3.286509
1317398137385837078, 173.335198,187.167561,3.301695
1317398137490205050, 172.775402,187.043853,3.315595
1317398137594624996, 172.211004,186.916132,3.327441
1317398137699071884, 171.625038,186.790259,3.335568
1317398137803544998, 171.021216,186.663936,3.340547
1317398137908030033, 170.402201,186.525708,3.344365
1317398138012500048, 169.758003,186.378981,3.347111
1317398138221441984, 168.423820,186.076957,3.346686
1317398138325958967, 167.731229,185.936834,3.341364
1317398138430478096, 167.010447,185.798497,3.333132
1317398138534970999, 166.280228,185.654996,3.323794
1317398138639441013, 165.523181,185.527684,3.314110
1317398138743865013, 164.748188,185.392716,3.304376
1317398138848251104, 163.960561,185.260997,3.294710
1317398138952624083, 163.147239,185.134942,3.284674
1317398139056974888, 162.313387,185.017445,3.274356
1317398139265609980, 160.608705,184.805158,3.253462
1317398139369888067, 159.727866,184.713856,3.244040
1317398139474122047, 158.841596,184.629783,3.235832
1317398139578353882, 157.963931,184.554699,3.226976
1317398139682612896, 157.070172,184.479998,3.219194
1317398139786819935, 156.175103,184.410963,3.213091
1317398139890990019, 155.290520,184.350912,3.208947
1317398139995177031, 154.402506,184.287169,3.206545
1317398140099349022, 153.515569,184.232685,3.204933
1317398140203514099, 152.616366,184.166704,3.203641
1317398140307668924, 151.709227,184.098950,3.201917
1317398140411854982, 150.806608,184.049546,3.201382
1317398140516031027, 149.917823,183.988680,3.200473
1317398140620212078, 149.017617,183.938345,3.200071
1317398140724394083, 148.111633,183.876910,3.200210
1317398140828545094, 147.211459,183.820169,3.200361
1317398140932735920, 146.323000,183.760315,3.200681
1317398141036926031, 145.422386,183.702436,3.201063
1317398141245245934, 143.629269,183.583979,3.202866
1317398141349438906, 142.729382,183.523553,3.203771
1317398141453597069, 141.833263,183.461977,3.204187
1317398141557770014, 140.946319,183.401875,3.204445
1317398141661976099, 140.054786,183.334862,3.204917
1317398141870485067, 138.268755,183.207229,3.204141
1317398141974730968, 137.379231,183.147066,3.202481
1317398142078988075, 136.475624,183.085289,3.200786
1317398142183222055, 135.581127,183.029768,3.199164
1317398142287451029, 134.690100,182.980767,3.198127
1317398142495943069, 132.923339,182.872666,3.196867
1317398142600184917, 132.044969,182.814653,3.196172
1317398142704478025, 131.161633,182.762722,3.195636
1317398142808726072, 130.280496,182.705771,3.194758
1317398143017153978, 128.528954,182.606450,3.193415
1317398143121376038, 127.652485,182.553511,3.193054
1317398143329860926, 125.895936,182.460424,3.192383
1317398143434103012, 125.023489,182.409751,3.191705
1317398143538326979, 124.138972,182.356552,3.191075
1317398143642571926, 123.243207,182.313288,3.190108
1317398143851083994, 121.435686,182.219657,3.188226
1317398143955313921, 120.537096,182.177029,3.187379
1317398144059549093, 119.617253,182.142333,3.186063
1317398144163778067, 118.707301,182.103282,3.185024
1317398144372245073, 116.882308,182.015479,3.183445
1317398144476476908, 115.970757,181.974078,3.183172
1317398144580710888, 115.042194,181.931842,3.182856
1317398144789186954, 113.182020,181.842426,3.185717
1317398144893403053, 112.228695,181.798526,3.188681
1317398144997612953, 111.287904,181.749149,3.192452
1317398145205982924, 109.388342,181.636465,3.201885
1317398145310180902, 108.434638,181.562547,3.207259
1317398145414381027, 107.486358,181.487680,3.212587
1317398145622823954, 105.593787,181.330495,3.220329
1317398145727071047, 104.637999,181.246508,3.222260
1317398145831325054, 103.679391,181.165922,3.222889
1317398146039838076, 101.739601,181.006563,3.224519
1317398146144033909, 100.752184,180.921180,3.225345
1317398146248259068, 99.764693,180.841388,3.226352
1317398146456727028, 97.800516,180.666208,3.227676
1317398146560978889, 96.817929,180.574212,3.228306
1317398146665222883, 95.851424,180.479662,3.228718
1317398146873717070, 93.889063,180.294963,3.229724
1317398146977935076, 92.915104,180.200850,3.230245
1317398147186378956, 90.961043,180.015285,3.230931
1317398147290607929, 89.992070,179.923210,3.231403
1317398147499046087, 88.029381,179.734628,3.231595
1317398147603254080, 87.065387,179.637531,3.231538
1317398147811677933, 85.104852,179.449765,3.230771
1317398147915858030, 84.128252,179.356704,3.230927
1317398148020040035, 83.154455,179.266219,3.230962
1317398148228368998, 81.206608,179.078991,3.230522
1317398148332562923, 80.242137,178.984318,3.230601
