#idx, dt(s),dx(m),dy(m),dtheta(m)
43, 0.099943, 1.008701, 0.000000, 0.000330
44, 0.110029, 1.118260, 0.000000, 0.000550
45, 0.100162, 1.024660, 0.000000, 0.000514
46, 0.109832, 1.130388, 0.000000, 0.000385
47, 0.099982, 1.033453, 0.000000, 0.000336
48, 0.100024, 1.035724, 0.000000, 0.000503
49, 0.110022, 1.139714, 0.000000, 0.000813
50, 0.100002, 1.035136, 0.000000, 0.000562
51, 0.109943, 1.136921, 0.000000, 0.000541
52, 0.100012, 1.033854, 0.000000, 0.000388
53, 0.110167, 1.139821, 0.000000, 0.000113
54, 0.099951, 1.036908, 0.000000, 0.000170
55, 0.099917, 1.038988, 0.000000, -0.000193
56, 0.109960, 1.144458, 0.000000, -0.000161
57, 0.100223, 1.042570, 0.000000, -0.000117
58, 0.109758, 1.140326, 0.000000, -0.000329
59, 0.100233, 1.040006, 0.000000, -0.000483
60, 0.099767, 1.034190, 0.000000, -0.000061
61, 0.109991, 1.139912, 0.000000, -0.000124
62, 0.099987, 1.035964, 0.000000, -0.000061
63, 0.110036, 1.140688, 0.000000, -0.000183
64, 0.100120, 1.039474, 0.000000, -0.000181
65, 0.109905, 1.143231, 0.000000, -0.000074
66, 0.099943, 1.040926, 0.000000, -0.000301
67, 0.099996, 1.041505, 0.000000, -0.000184
68, 0.110012, 1.146353, 0.000000, -0.000343
69, 0.100051, 1.043606, 0.000000, -0.000080
70, 0.109935, 1.147401, 0.000000, 0.000116
71, 0.100017, 1.044336, 0.000000, -0.000047
72, 0.100065, 1.045690, 0.000000, -0.000440
73, 0.109990, 1.150822, 0.000000, -0.000963
74, 0.100036, 1.047340, 0.000000, -0.000103
75, 0.109899, 1.150668, 0.000000, 0.000146
76, 0.099975, 1.046388, 0.000000, -0.000199
77, 0.110158, 1.152046, 0.000000, 0.000275
78, 0.099998, 1.044806, 0.000000, 0.000246
79, 0.099875, 1.041340, 0.000000, 0.000647
80, 0.110039, 1.143683, 0.000000, 0.000601
81, 0.099923, 1.035584, 0.000000, 0.000507
82, 0.110001, 1.137295, 0.000000, 0.000706
83, 0.100183, 1.034269, 0.000000, 0.000539
84, 0.099832, 1.029342, 0.000000, 0.000578
85, 0.109981, 1.131036, 0.000000, 0.000680
86, 0.100029, 1.024351, 0.000000, 0.000419
87, 0.109960, 1.120050, 0.000000, 0.000560
88, 0.100091, 1.013370, 0.000000, 0.000601
89, 0.109904, 1.102340, 0.000000, 0.000518
90, 0.099981, 0.990100, 0.000000, 0.000650
91, 0.100029, 0.975900, 0.000000, 0.000582
92, 0.110020, 1.054273, 0.000000, 0.000496
93, 0.100130, 0.940709, 0.000000, 0.000886
94, 0.109844, 1.009068, 0.000000, 0.002147
95, 0.100033, 0.896952, 0.000000, 0.003115
96, 0.099965, 0.874821, 0.000000, 0.003331
97, 0.110094, 0.938199, 0.000000, 0.003265
98, 0.100088, 0.829625, 0.000000, 0.003079
99, 0.109836, 0.884351, 0.000000, 0.003235
100, 0.099951, 0.780141, 0.000000, 0.002849
101, 0.110155, 0.831235, 0.000000, 0.002930
102, 0.099937, 0.727444, 0.000000, 0.002398
103, 0.099928, 0.700600, 0.000000, 0.002669
104, 0.109972, 0.738417, 0.000000, 0.002750
105, 0.100010, 0.641820, 0.000000, 0.002431
106, 0.110015, 0.674024, 0.000000, 0.002325
107, 0.100279, 0.586403, 0.000000, 0.000998
108, 0.099700, 0.559005, 0.000000, -0.000623
109, 0.109997, 0.591323, 0.000000, -0.002810
110, 0.100046, 0.515538, 0.000000, -0.004988
111, 0.109962, 0.543321, 0.000000, -0.007550
112, 0.100089, 0.474000, 0.000000, -0.009038
113, 0.109888, 0.497714, 0.000000, -0.012321
114, 0.100006, 0.433037, 0.000000, -0.012754
115, 0.110000, 0.458494, 0.000000, -0.015896
116, 0.100007, 0.405824, 0.000000, -0.017074
117, 0.100014, 0.398994, 0.000000, -0.019996
118, 0.110030, 0.431827, 0.000000, -0.025508
119, 0.099953, 0.385547, 0.000000, -0.025914
120, 0.110121, 0.417498, 0.000000, -0.031452
121, 0.099913, 0.373638, 0.000000, -0.030975
122, 0.109985, 0.407072, 0.000000, -0.037785
123, 0.099936, 0.365717, 0.000000, -0.037305
124, 0.110014, 0.397749, 0.000000, -0.043280
125, 0.100103, 0.357699, 0.000000, -0.041192
126, 0.100152, 0.354861, 0.000000, -0.044372
127, 0.109748, 0.386139, 0.000000, -0.050288
128, 0.099981, 0.348917, 0.000000, -0.046260
129, 0.109986, 0.380292, 0.000000, -0.052628
130, 0.100026, 0.343040, 0.000000, -0.047620
131, 0.110061, 0.378175, 0.000000, -0.052825
132, 0.099926, 0.347084, 0.000000, -0.049375
133, 0.109984, 0.386674, 0.000000, -0.056020
134, 0.100016, 0.355546, 0.000000, -0.052716
135, 0.100015, 0.359047, 0.000000, -0.052952
136, 0.110214, 0.400622, 0.000000, -0.057549
137, 0.099767, 0.368134, 0.000000, -0.053609
138, 0.109997, 0.411311, 0.000000, -0.059592
139, 0.099989, 0.378532, 0.000000, -0.053855
140, 0.109995, 0.422178, 0.000000, -0.060735
141, 0.100087, 0.389589, 0.000000, -0.054824
142, 0.099934, 0.394778, 0.000000, -0.052825
143, 0.110127, 0.443815, 0.000000, -0.056340
144, 0.099990, 0.412665, 0.000000, -0.047106
145, 0.110072, 0.466183, 0.000000, -0.045629
146, 0.099811, 0.434425, 0.000000, -0.035159
147, 0.109956, 0.493062, 0.000000, -0.033174
148, 0.100000, 0.463368, 0.000000, -0.027581
149, 0.100158, 0.479485, 0.000000, -0.025050
150, 0.109996, 0.544964, 0.000000, -0.025748
151, 0.099905, 0.511775, 0.000000, -0.022264
152, 0.099953, 0.528178, 0.000000, -0.019956
153, 0.109988, 0.601091, 0.000000, -0.019287
154, 0.099995, 0.565251, 0.000000, -0.014071
155, 0.110189, 0.643973, 0.000000, -0.012141
156, 0.099923, 0.603558, 0.000000, -0.006571
157, 0.099880, 0.621438, 0.000000, -0.003094
158, 0.110016, 0.703159, 0.000000, 0.000105
159, 0.099993, 0.655655, 0.000000, 0.001621
160, 0.110357, 0.742386, 0.000000, 0.001561
161, 0.099630, 0.686647, 0.000000, 0.001038
162, 0.100013, 0.704631, 0.000000, 0.000723
163, 0.109970, 0.791407, 0.000000, 0.000569
164, 0.100012, 0.733497, 0.000000, 0.000667
165, 0.110059, 0.819975, 0.000000, 0.000510
166, 0.099952, 0.754143, 0.000000, -0.000587
167, 0.099989, 0.761689, 0.000000, -0.001249
168, 0.110113, 0.847933, 0.000000, -0.001702
169, 0.100068, 0.779430, 0.000000, -0.001414
170, 0.109882, 0.864826, 0.000000, -0.001390
171, 0.099973, 0.795211, 0.000000, -0.001926
172, 0.099939, 0.802786, 0.000000, -0.000804
173, 0.110130, 0.892388, 0.000000, -0.000678
174, 0.099959, 0.815979, 0.000000, -0.000707
175, 0.109930, 0.902237, 0.000000, -0.001035
176, 0.099985, 0.822980, 0.000000, -0.000711
177, 0.109997, 0.906855, 0.000000, 0.000027
178, 0.100000, 0.824441, 0.000000, 0.000042
179, 0.100110, 0.822885, 0.000000, 0.000083
180, 0.109886, 0.898850, 0.000000, 0.001094
181, 0.099977, 0.814913, 0.000000, 0.001227
182, 0.110000, 0.895199, 0.000000, 0.000639
183, 0.100022, 0.812779, 0.000000, 0.001167
184, 0.100036, 0.810363, 0.000000, 0.001121
185, 0.109946, 0.885779, 0.000000, 0.000582
186, 0.100059, 0.801848, 0.000000, 0.000072
187, 0.109944, 0.877553, 0.000000, -0.000741
188, 0.099982, 0.795145, 0.000000, -0.001795
189, 0.110000, 0.870881, 0.000000, -0.002068
190, 0.100007, 0.788250, 0.000000, -0.002007
191, 0.099972, 0.784995, 0.000000, -0.001933
192, 0.110067, 0.859379, 0.000000, -0.002146
193, 0.100084, 0.775312, 0.000000, -0.001991
194, 0.109907, 0.845037, 0.000000, -0.002091
195, 0.099893, 0.763522, 0.000000, -0.001737
196, 0.110077, 0.836860, 0.000000, -0.001058
197, 0.100123, 0.757319, 0.000000, -0.001215
198, 0.099958, 0.751892, 0.000000, -0.001355
199, 0.109923, 0.818880, 0.000000, -0.001459
200, 0.099961, 0.732877, 0.000000, -0.001346
201, 0.110001, 0.788939, 0.000000, -0.000964
202, 0.099993, 0.701401, 0.000000, -0.000844
203, 0.110118, 0.761415, 0.000000, -0.000302
204, 0.099822, 0.685530, 0.000000, -0.000037
205, 0.100074, 0.684418, 0.000000, -0.000126
206, 0.110001, 0.748943, 0.000000, -0.000220
207, 0.099976, 0.677804, 0.000000, -0.000084
208, 0.110358, 0.744556, 0.000000, -0.000334
209, 0.099697, 0.668833, 0.000000, -0.000305
210, 0.109910, 0.733367, 0.000000, 0.000095
211, 0.100032, 0.663992, 0.000000, 0.000068
212, 0.099964, 0.660373, 0.000000, -0.000792
213, 0.110067, 0.723882, 0.000000, -0.003451
214, 0.099928, 0.654425, 0.000000, -0.004957
215, 0.109976, 0.718928, 0.000000, -0.006138
216, 0.100156, 0.656746, 0.000000, -0.006108
217, 0.110081, 0.726441, 0.000000, -0.007745
218, 0.099809, 0.663138, 0.000000, -0.006046
219, 0.100000, 0.669209, 0.000000, -0.005250
220, 0.109989, 0.742106, 0.000000, -0.004698
221, 0.100154, 0.682099, 0.000000, -0.003828
222, 0.109998, 0.757438, 0.000000, -0.003037
223, 0.099849, 0.694600, 0.000000, -0.001800
224, 0.110000, 0.772985, 0.000000, -0.002016
225, 0.100003, 0.709567, 0.000000, -0.001424
226, 0.099992, 0.715162, 0.000000, -0.000656
227, 0.110276, 0.793994, 0.000000, -0.000206
228, 0.099721, 0.722287, 0.000000, -0.000631
229, 0.109993, 0.800973, 0.000000, -0.000757
230, 0.099999, 0.730349, 0.000000, -0.000554
231, 0.099978, 0.729896, 0.000000, 0.000114
232, 0.110232, 0.802690, 0.000000, -0.000192
233, 0.099787, 0.724894, 0.000000, -0.000947
234, 0.110000, 0.797731, 0.000000, -0.001854
235, 0.100002, 0.724568, 0.000000, -0.002181
236, 0.109989, 0.797022, 0.000000, -0.002308
237, 0.100026, 0.726168, 0.000000, -0.001770
238, 0.099977, 0.729148, 0.000000, -0.002031
239, 0.110169, 0.807954, 0.000000, -0.001787
240, 0.099832, 0.736423, 0.000000, -0.001195
241, 0.110183, 0.818383, 0.000000, -0.000769
242, 0.099865, 0.746632, 0.000000, -0.001358
243, 0.109916, 0.827948, 0.000000, -0.001126
244, 0.100025, 0.759316, 0.000000, -0.001091
245, 0.100145, 0.765502, 0.000000, -0.001632
246, 0.110108, 0.847750, 0.000000, -0.002182
247, 0.099816, 0.773781, 0.000000, -0.001740
248, 0.109920, 0.857518, 0.000000, -0.002318
249, 0.100008, 0.784851, 0.000000, -0.001573
250, 0.109979, 0.868416, 0.000000, -0.000249
251, 0.100159, 0.796438, 0.000000, -0.001099
252, 0.099841, 0.799209, 0.000000, 0.000220
253, 0.109996, 0.886338, 0.000000, 0.000384
254, 0.100014, 0.811488, 0.000000, 0.000163
255, 0.110058, 0.898274, 0.000000, 0.000748
256, 0.100223, 0.821748, 0.000000, 0.001674
257, 0.109713, 0.903182, 0.000000, 0.001746
258, 0.099971, 0.826025, 0.000000, 0.001681
259, 0.100012, 0.828519, 0.000000, 0.001699
260, 0.109950, 0.912478, 0.000000, 0.001534
261, 0.100078, 0.832800, 0.000000, 0.002125
262, 0.110156, 0.920444, 0.000000, 0.001766
263, 0.099954, 0.838552, 0.000000, 0.001703
264, 0.109849, 0.924257, 0.000000, 0.000865
265, 0.100059, 0.843637, 0.000000, 0.000572
266, 0.100027, 0.844355, 0.000000, 0.000701
267, 0.109875, 0.927507, 0.000000, 0.000472
268, 0.100043, 0.844232, 0.000000, 0.000680
269, 0.109935, 0.926560, 0.000000, 0.001102
270, 0.100288, 0.843188, 0.000000, 0.000749
271, 0.109757, 0.919951, 0.000000, 0.000793
272, 0.100003, 0.835478, 0.000000, 0.000873
273, 0.099982, 0.833057, 0.000000, 0.000339
274, 0.110010, 0.913398, 0.000000, -0.000025
275, 0.100183, 0.827044, 0.000000, -0.001041
276, 0.109811, 0.902057, 0.000000, -0.001238
277, 0.099996, 0.818449, 0.000000, -0.000627
278, 0.100048, 0.815363, 0.000000, -0.000483
279, 0.109936, 0.891683, 0.000000, -0.000535
280, 0.100222, 0.808017, 0.000000, -0.000580
281, 0.109791, 0.879217, 0.000000, -0.000501
282, 0.100016, 0.796161, 0.000000, -0.000542
283, 0.109931, 0.870260, 0.000000, -0.001234
284, 0.100062, 0.787516, 0.000000, -0.002044
285, 0.100056, 0.781901, 0.000000, -0.003036
286, 0.109907, 0.852672, 0.000000, -0.003219
287, 0.100099, 0.771922, 0.000000, -0.003317
288, 0.109905, 0.843355, 0.000000, -0.003345
289, 0.100184, 0.765850, 0.000000, -0.002897
290, 0.109856, 0.836186, 0.000000, -0.002710
291, 0.099945, 0.756634, 0.000000, -0.001761
292, 0.099997, 0.754172, 0.000000, -0.001477
293, 0.110063, 0.829062, 0.000000, -0.002781
294, 0.100147, 0.753887, 0.000000, -0.002706
295, 0.109796, 0.823673, 0.000000, -0.003905
296, 0.099975, 0.745186, 0.000000, -0.002229
297, 0.110029, 0.816734, 0.000000, -0.001588
298, 0.099968, 0.739912, 0.000000, -0.002368
299, 0.100142, 0.738573, 0.000000, -0.002415
300, 0.109868, 0.807612, 0.000000, -0.002149
301, 0.100009, 0.732602, 0.000000, -0.001625
302, 0.109975, 0.803129, 0.000000, -0.003141
303, 0.100014, 0.727834, 0.000000, -0.002194
304, 0.110190, 0.799259, 0.000000, -0.004536
305, 0.099816, 0.721542, 0.000000, -0.005448
306, 0.099982, 0.720119, 0.000000, -0.005890
307, 0.110030, 0.789781, 0.000000, -0.008859
308, 0.100080, 0.715873, 0.000000, -0.010061
309, 0.110035, 0.784924, 0.000000, -0.012717
310, 0.099970, 0.711544, 0.000000, -0.012120
311, 0.109858, 0.780114, 0.000000, -0.012824
312, 0.100058, 0.708817, 0.000000, -0.011107
313, 0.100131, 0.707719, 0.000000, -0.010383
314, 0.109871, 0.774358, 0.000000, -0.009922
315, 0.099946, 0.701767, 0.000000, -0.007888
316, 0.110084, 0.770432, 0.000000, -0.007197
317, 0.099917, 0.697450, 0.000000, -0.004914
318, 0.110172, 0.766061, 0.000000, -0.002635
319, 0.099783, 0.689909, 0.000000, -0.001172
320, 0.100062, 0.687386, 0.000000, -0.001147
321, 0.109975, 0.750125, 0.000000, 0.000087
322, 0.100030, 0.677811, 0.000000, 0.001489
323, 0.110212, 0.742391, 0.000000, 0.000714
324, 0.099757, 0.667408, 0.000000, 0.001777
325, 0.109986, 0.730310, 0.000000, 0.002117
326, 0.100023, 0.657995, 0.000000, 0.001501
327, 0.099979, 0.651661, 0.000000, 0.002210
328, 0.110065, 0.711783, 0.000000, 0.004610
329, 0.099939, 0.641189, 0.000000, 0.005260
330, 0.110002, 0.700022, 0.000000, 0.006128
331, 0.100069, 0.631438, 0.000000, 0.004825
332, 0.099942, 0.625569, 0.000000, 0.004126
333, 0.110063, 0.683846, 0.000000, 0.004299
334, 0.099937, 0.616646, 0.000000, 0.003826
335, 0.109995, 0.673173, 0.000000, 0.004352
336, 0.099971, 0.605720, 0.000000, 0.003408
337, 0.100162, 0.601085, 0.000000, 0.003599
338, 0.109866, 0.653558, 0.000000, 0.004952
339, 0.099975, 0.589986, 0.000000, 0.005399
340, 0.109987, 0.644256, 0.000000, 0.007183
341, 0.100011, 0.581155, 0.000000, 0.008393
342, 0.110171, 0.634794, 0.000000, 0.011556
343, 0.099818, 0.570637, 0.000000, 0.012285
344, 0.100040, 0.568253, 0.000000, 0.012874
345, 0.109956, 0.620880, 0.000000, 0.016583
346, 0.100057, 0.561819, 0.000000, 0.017930
347, 0.109989, 0.614623, 0.000000, 0.022475
348, 0.099962, 0.555734, 0.000000, 0.021638
349, 0.099976, 0.552866, 0.000000, 0.021441
350, 0.110030, 0.605897, 0.000000, 0.022796
351, 0.099967, 0.548966, 0.000000, 0.019077
352, 0.110216, 0.604249, 0.000000, 0.016754
353, 0.099773, 0.545902, 0.000000, 0.009847
354, 0.110078, 0.600470, 0.000000, 0.003361
355, 0.099941, 0.543591, 0.000000, -0.005499
356, 0.100018, 0.542104, 0.000000, -0.011727
357, 0.110137, 0.593539, 0.000000, -0.014166
358, 0.099873, 0.534120, 0.000000, -0.012234
359, 0.109890, 0.583277, 0.000000, -0.012782
360, 0.100080, 0.528293, 0.000000, -0.013189
361, 0.110137, 0.578402, 0.000000, -0.017186
362, 0.099874, 0.521156, 0.000000, -0.016528
363, 0.109953, 0.570175, 0.000000, -0.016434
364, 0.100002, 0.515597, 0.000000, -0.013944
365, 0.109993, 0.563771, 0.000000, -0.015235
366, 0.100220, 0.510659, 0.000000, -0.013257
367, 0.099801, 0.505345, 0.000000, -0.012262
368, 0.110004, 0.552957, 0.000000, -0.011688
369, 0.100025, 0.499372, 0.000000, -0.009962
370, 0.109963, 0.545491, 0.000000, -0.007977
371, 0.100206, 0.493689, 0.000000, -0.004929
372, 0.099757, 0.488232, 0.000000, -0.003218
373, 0.110069, 0.534954, 0.000000, -0.002606
374, 0.099947, 0.482370, 0.000000, -0.000295
375, 0.110033, 0.527695, 0.000000, -0.001277
376, 0.099990, 0.479205, 0.000000, -0.003150
377, 0.110025, 0.532478, 0.000000, -0.002682
378, 0.099927, 0.491192, 0.000000, -0.003748
379, 0.100068, 0.500063, 0.000000, -0.005434
380, 0.110132, 0.559701, 0.000000, -0.005855
381, 0.099897, 0.516168, 0.000000, -0.005550
382, 0.109894, 0.577597, 0.000000, -0.005941
383, 0.100004, 0.534381, 0.000000, -0.005760
384, 0.110110, 0.597166, 0.000000, -0.006142
385, 0.100108, 0.549950, 0.000000, -0.005325
386, 0.099825, 0.554053, 0.000000, -0.005339
387, 0.109952, 0.616222, 0.000000, -0.005177
388, 0.100005, 0.565446, 0.000000, -0.004000
389, 0.110011, 0.626571, 0.000000, -0.004400
390, 0.100115, 0.573577, 0.000000, -0.002884
391, 0.109897, 0.631949, 0.000000, -0.003042
392, 0.100030, 0.576307, 0.000000, -0.001883
393, 0.099912, 0.575713, 0.000000, -0.001520
394, 0.110041, 0.632537, 0.000000, -0.000234
395, 0.100016, 0.573079, 0.000000, 0.000700
396, 0.109990, 0.627551, 0.000000, 0.001024
397, 0.099950, 0.567196, 0.000000, 0.002174
398, 0.100027, 0.564553, 0.000000, 0.002356
399, 0.109980, 0.616468, 0.000000, 0.003032
400, 0.100166, 0.555460, 0.000000, 0.002591
401, 0.109872, 0.599631, 0.000000, 0.003816
402, 0.100008, 0.535007, 0.000000, 0.003767
403, 0.110111, 0.574517, 0.000000, 0.004042
404, 0.100041, 0.507507, 0.000000, 0.004095
405, 0.099976, 0.492597, 0.000000, 0.004543
406, 0.109774, 0.523091, 0.000000, 0.006043
407, 0.100123, 0.459924, 0.000000, 0.006780
408, 0.110043, 0.486386, 0.000000, 0.009529
409, 0.100035, 0.426625, 0.000000, 0.010835
410, 0.099865, 0.415889, 0.000000, 0.013026
411, 0.109969, 0.450679, 0.000000, 0.016934
412, 0.099957, 0.404062, 0.000000, 0.018184
413, 0.110046, 0.439491, 0.000000, 0.023956
414, 0.100110, 0.395159, 0.000000, 0.024861
415, 0.109932, 0.428700, 0.000000, 0.029932
416, 0.099949, 0.384969, 0.000000, 0.029500
417, 0.100009, 0.381461, 0.000000, 0.030629
418, 0.109971, 0.416696, 0.000000, 0.033121
419, 0.100131, 0.377305, 0.000000, 0.029465
420, 0.099886, 0.374287, 0.000000, 0.029983
421, 0.110014, 0.409738, 0.000000, 0.033442
422, 0.100027, 0.370262, 0.000000, 0.031278
423, 0.109943, 0.405256, 0.000000, 0.036206
424, 0.100052, 0.369603, 0.000000, 0.034382
425, 0.099927, 0.373403, 0.000000, 0.036388
426, 0.110028, 0.418751, 0.000000, 0.042081
427, 0.099998, 0.387754, 0.000000, 0.040500
428, 0.110163, 0.434301, 0.000000, 0.046818
429, 0.099973, 0.401404, 0.000000, 0.044394
430, 0.109905, 0.451651, 0.000000, 0.050820
431, 0.099940, 0.421534, 0.000000, 0.046391
432, 0.100013, 0.432905, 0.000000, 0.046865
433, 0.110207, 0.491259, 0.000000, 0.052824
434, 0.099826, 0.459131, 0.000000, 0.046897
435, 0.109937, 0.521566, 0.000000, 0.051772
436, 0.100015, 0.489427, 0.000000, 0.047476
437, 0.100040, 0.504783, 0.000000, 0.046896
438, 0.110136, 0.574594, 0.000000, 0.050238
439, 0.099818, 0.538749, 0.000000, 0.044626
440, 0.110008, 0.614238, 0.000000, 0.046484
441, 0.099978, 0.577112, 0.000000, 0.039295
442, 0.110010, 0.655753, 0.000000, 0.039896
443, 0.100034, 0.615277, 0.000000, 0.032726
444, 0.099944, 0.632822, 0.000000, 0.029324
445, 0.110054, 0.717748, 0.000000, 0.028314
446, 0.099935, 0.670546, 0.000000, 0.021682
447, 0.110041, 0.757840, 0.000000, 0.020520
448, 0.100160, 0.706640, 0.000000, 0.017446
449, 0.109855, 0.793302, 0.000000, 0.018956
450, 0.099934, 0.738136, 0.000000, 0.017093
451, 0.100052, 0.754150, 0.000000, 0.017140
452, 0.110167, 0.847407, 0.000000, 0.017971
453, 0.099996, 0.784076, 0.000000, 0.014116
454, 0.109784, 0.875970, 0.000000, 0.010241
455, 0.100032, 0.811029, 0.000000, 0.004205
456, 0.110118, 0.906440, 0.000000, 0.001996
457, 0.099960, 0.835378, 0.000000, 0.000621
458, 0.109881, 0.932239, 0.000000, 0.000110
459, 0.100002, 0.860969, 0.000000, -0.000166
460, 0.100041, 0.873059, 0.000000, -0.000244
461, 0.109964, 0.972612, 0.000000, -0.000590
462, 0.100156, 0.896293, 0.000000, -0.000936
463, 0.109837, 0.990164, 0.000000, -0.000987
464, 0.099980, 0.904322, 0.000000, -0.000907
465, 0.110016, 0.996890, 0.000000, -0.000604
466, 0.099995, 0.907683, 0.000000, -0.000473
467, 0.100158, 0.911528, 0.000000, -0.000399
468, 0.109888, 1.001362, 0.000000, -0.000625
469, 0.099928, 0.910258, 0.000000, -0.000415
470, 0.110016, 1.002275, 0.000000, -0.000238
471, 0.099986, 0.911811, 0.000000, 0.000128
472, 0.110060, 1.005406, 0.000000, 0.000353
473, 0.109998, 1.006465, 0.000000, 0.000299
474, 0.089949, 0.824127, 0.000000, 0.000996
475, 0.110137, 1.009543, 0.000000, 0.001112
476, 0.100078, 0.917156, 0.000000, 0.001265
477, 0.109832, 1.006243, 0.000000, 0.001209
478, 0.099956, 0.915108, 0.000000, 0.001398
479, 0.099999, 0.914717, 0.000000, 0.001367
480, 0.110143, 1.006793, 0.000000, 0.001657
481, 0.100092, 0.914109, 0.000000, 0.001455
482, 0.109773, 1.000528, 0.000000, 0.001565
483, 0.100030, 0.908955, 0.000000, 0.001607
484, 0.109940, 0.994570, 0.000000, 0.001889
485, 0.100003, 0.899177, 0.000000, 0.001786
486, 0.100218, 0.894140, 0.000000, 0.001888
487, 0.109776, 0.969673, 0.000000, 0.001751
488, 0.099995, 0.873978, 0.000000, 0.001933
489, 0.110029, 0.950647, 0.000000, 0.002795
490, 0.099955, 0.851203, 0.000000, 0.002019
491, 0.100049, 0.837656, 0.000000, 0.002338
492, 0.109947, 0.903857, 0.000000, 0.002762
493, 0.100007, 0.806982, 0.000000, 0.002341
494, 0.109996, 0.869667, 0.000000, 0.002663
495, 0.100005, 0.773383, 0.000000, 0.002499
496, 0.110054, 0.830110, 0.000000, 0.003350
497, 0.099939, 0.733278, 0.000000, 0.004279
498, 0.100044, 0.712978, 0.000000, 0.004377
499, 0.110075, 0.758800, 0.000000, 0.004168
500, 0.100056, 0.666171, 0.000000, 0.003610
501, 0.109900, 0.705421, 0.000000, 0.003275
502, 0.099925, 0.617168, 0.000000, 0.001910
503, 0.109992, 0.652681, 0.000000, 0.000303
504, 0.100155, 0.571390, 0.000000, 0.001747
505, 0.099991, 0.550759, 0.000000, 0.001404
506, 0.109934, 0.585203, 0.000000, 0.000477
507, 0.099899, 0.515259, 0.000000, 0.000736
508, 0.110011, 0.553279, 0.000000, 0.001878
509, 0.099980, 0.494647, 0.000000, 0.002667
510, 0.110029, 0.538955, 0.000000, 0.004575
511, 0.099930, 0.485240, 0.000000, 0.006487
512, 0.100000, 0.480965, 0.000000, 0.009808
513, 0.110082, 0.522312, 0.000000, 0.014779
514, 0.099964, 0.466111, 0.000000, 0.017341
515, 0.110406, 0.505734, 0.000000, 0.023697
516, 0.099594, 0.449530, 0.000000, 0.025214
517, 0.099996, 0.446241, 0.000000, 0.028504
518, 0.109992, 0.485270, 0.000000, 0.035647
519, 0.099990, 0.435956, 0.000000, 0.035041
520, 0.110042, 0.474109, 0.000000, 0.041021
521, 0.100037, 0.425877, 0.000000, 0.040467
522, 0.099905, 0.420784, 0.000000, 0.042418
523, 0.110176, 0.460011, 0.000000, 0.048365
524, 0.099922, 0.414166, 0.000000, 0.046237
525, 0.109947, 0.451982, 0.000000, 0.053341
526, 0.099974, 0.407335, 0.000000, 0.050376
527, 0.099991, 0.404486, 0.000000, 0.052314
528, 0.110110, 0.442026, 0.000000, 0.057554
529, 0.099973, 0.397472, 0.000000, 0.053885
530, 0.109891, 0.433676, 0.000000, 0.060810
531, 0.100014, 0.392764, 0.000000, 0.055466
532, 0.099998, 0.390644, 0.000000, 0.055462
533, 0.109993, 0.428390, 0.000000, 0.062314
534, 0.100241, 0.389795, 0.000000, 0.056862
535, 0.109749, 0.425265, 0.000000, 0.061782
